#  464 + 60 * localID;
# positions are given wrt global cs in units of meter.
# TubeID    X (m)       Y (m)        Z (m)

464     0           -0.927149    0.404
524     0           -0.144649    0.404
584     0            0.637851    0.404

644     0.902975    -0.927149    0.778025
704     0.902975    -0.144649    0.778025
764     0.902975     0.637851    0.778025

824     1.277       -0.927149    1.681
884     1.277       -0.144649    1.681
944     1.277        0.637851    1.681

1004    0.902975    -0.927149    2.58398
1064    0.902975    -0.144649    2.58398
1124    0.902975     0.637851    2.58398

1184    0           -0.927149    2.958
1244    0           -0.144649    2.958
1304    0            0.637851    2.958

1364   -0.902975    -0.927149    2.58398
1424   -0.902975    -0.144649    2.58398
1484   -0.902975     0.637851    2.58398

1544   -1.277       -0.927149    1.681
1604   -1.277       -0.144649    1.681
1664   -1.277        0.637851    1.681

1724   -0.902975    -0.927149    0.778025
1784   -0.902975    -0.144649    0.778025
1844   -0.902975     0.637851    0.778025


